colour	x	y	clickSelects	fill
#F8766D	0.337783976966007	0.411244420588694	Female.No	#F8766D
#7CAE00	0.778730045411397	0.156951794570143	Male.No	#7CAE00
#7CAE00	0.754415917210281	0.113076719116758	Male.No	#7CAE00
#7CAE00	0.736266974952411	0.375958326018669	Male.No	#7CAE00
#F8766D	0.0938217366452921	0.318203541873531	Female.No	#F8766D
#7CAE00	0.569385483691638	0.251911766319112	Male.No	#7CAE00
#7CAE00	0.685155437666584	0.442990469238297	Male.No	#7CAE00
#7CAE00	0.740692010657354	0.374670740640299	Male.No	#7CAE00
#7CAE00	0.849591313353316	0.316205765205351	Male.No	#7CAE00
#7CAE00	0.905066359788179	0.142086392691867	Male.No	#7CAE00
#7CAE00	0.850322641432285	0.419532577083869	Male.No	#7CAE00
#F8766D	0.386622947640717	0.249906458299268	Female.No	#F8766D
#7CAE00	0.871936886825345	0.231503992172127	Male.No	#7CAE00
#7CAE00	0.60221480188722	0.279531677592207	Male.No	#7CAE00
#F8766D	0.149550265124576	0.441191515461965	Female.No	#F8766D
#7CAE00	0.622781033712355	0.168091170997782	Male.No	#7CAE00
#F8766D	0.116283856924962	0.408067090690813	Female.No	#F8766D
#7CAE00	0.838170148093592	0.318812648935074	Male.No	#7CAE00
#F8766D	0.395720037293028	0.3861680731008	Female.No	#F8766D
#7CAE00	0.650199924510988	0.37478749953549	Male.No	#7CAE00
#7CAE00	0.834326799366284	0.415610607798127	Male.No	#7CAE00
#F8766D	0.180693124844269	0.227273586290804	Female.No	#F8766D
#F8766D	0.376774778843603	0.373508371328088	Female.No	#F8766D
#7CAE00	0.840595292689448	0.389060722325336	Male.No	#7CAE00
#7CAE00	0.868007860569791	0.209208946251734	Male.No	#7CAE00
#7CAE00	0.659831723028963	0.183874051594599	Male.No	#7CAE00
#7CAE00	0.838287227448415	0.401897702620111	Male.No	#7CAE00
#7CAE00	0.710297892632132	0.240876470523124	Male.No	#7CAE00
#7CAE00	0.891428071074188	0.308534768071364	Male.No	#7CAE00
#F8766D	0.452788704328916	0.186094449917701	Female.No	#F8766D
#7CAE00	0.872394365427846	0.16733966098929	Male.No	#7CAE00
#7CAE00	0.688336470503021	0.451536669649861	Male.No	#7CAE00
#F8766D	0.342592400244691	0.31362020927058	Female.No	#F8766D
#F8766D	0.290407713756642	0.176886357367039	Female.No	#F8766D
#7CAE00	0.822308887473562	0.337582675316794	Male.No	#7CAE00
#7CAE00	0.627309549261223	0.158561641773717	Male.No	#7CAE00
#7CAE00	0.588134252127599	0.102214716967534	Male.No	#7CAE00
#F8766D	0.361765610985458	0.113732450557026	Female.No	#F8766D
#7CAE00	0.874428735283965	0.337297663685273	Male.No	#7CAE00
#7CAE00	0.567643262953921	0.169105138375678	Male.No	#7CAE00
#7CAE00	0.750850851224227	0.294084611856802	Male.No	#7CAE00
#7CAE00	0.867221785031936	0.290599824437364	Male.No	#7CAE00
#7CAE00	0.873883602632718	0.294009582393549	Male.No	#7CAE00
#7CAE00	0.679144010117108	0.233253790319643	Male.No	#7CAE00
#7CAE00	0.821714838035405	0.200420327315276	Male.No	#7CAE00
#7CAE00	0.831998404962095	0.162493908862499	Male.No	#7CAE00
#7CAE00	0.679593626240438	0.188031892630864	Male.No	#7CAE00
#7CAE00	0.598849378780208	0.273719981482083	Male.No	#7CAE00
#7CAE00	0.884617587890137	0.429578360424123	Male.No	#7CAE00
#7CAE00	0.630573518912901	0.19476518525996	Male.No	#7CAE00
#7CAE00	0.733132169158621	0.24349906177006	Male.No	#7CAE00
#F8766D	0.103009025650946	0.161702729846266	Female.No	#F8766D
#F8766D	0.424426524137909	0.172945587133819	Female.No	#F8766D
#7CAE00	0.630363216623664	0.331768579611724	Male.No	#7CAE00
#7CAE00	0.715694690461863	0.108113219030201	Male.No	#7CAE00
#7CAE00	0.723163528367877	0.317590363069691	Male.No	#7CAE00
#C77CFF	0.826554488221353	0.76519899205728	Male.Yes	#C77CFF
#F8766D	0.20404643887146	0.175186591222882	Female.No	#F8766D
#C77CFF	0.718535778536038	0.832898723469539	Male.Yes	#C77CFF
#7CAE00	0.828622720119628	0.166089335710488	Male.No	#7CAE00
#C77CFF	0.605416139503094	0.829992742447013	Male.Yes	#C77CFF
#C77CFF	0.786586914973503	0.774301004934717	Male.Yes	#C77CFF
#C77CFF	0.760822058909319	0.569799008271233	Male.Yes	#C77CFF
#C77CFF	0.900829265317456	0.789823659865016	Male.Yes	#C77CFF
#7CAE00	0.638756403360854	0.427813233130357	Male.No	#7CAE00
#7CAE00	0.631877090612596	0.424944186921824	Male.No	#7CAE00
#F8766D	0.299639002081345	0.14702672985467	Female.No	#F8766D
#00BFC4	0.313398316756568	0.803287547420372	Female.Yes	#00BFC4
#7CAE00	0.763378840955821	0.402738557620482	Male.No	#7CAE00
#C77CFF	0.823855616152287	0.737602169371464	Male.Yes	#C77CFF
#7CAE00	0.572237424891103	0.410060375082222	Male.No	#7CAE00
#F8766D	0.445116519165987	0.430247984657233	Female.No	#F8766D
#00BFC4	0.405739704739641	0.809205472046001	Female.Yes	#00BFC4
#00BFC4	0.211888123557649	0.741304026916623	Female.Yes	#00BFC4
#F8766D	0.167509982193058	0.337331189435314	Female.No	#F8766D
#7CAE00	0.76434950589795	0.325498879887164	Male.No	#7CAE00
#C77CFF	0.908313805237412	0.567912138829177	Male.Yes	#C77CFF
#7CAE00	0.770824260078371	0.307022920809686	Male.No	#7CAE00
#7CAE00	0.877056881616061	0.358127669685266	Male.No	#7CAE00
#7CAE00	0.834922204386782	0.208923320116644	Male.No	#7CAE00
#C77CFF	0.636185415343127	0.904420656575398	Male.Yes	#C77CFF
#7CAE00	0.553684473291717	0.22389399996874	Male.No	#7CAE00
#F8766D	0.310006448575719	0.1191108439287	Female.No	#F8766D
#C77CFF	0.598868957128037	0.7728434686803	Male.Yes	#C77CFF
#7CAE00	0.682364765216004	0.39412855390798	Male.No	#7CAE00
#F8766D	0.445028018714352	0.450516482815146	Female.No	#F8766D
